ID,LIMIT_BAL,MARITAL,EDUCATION,SEX,AGE,DELAY1,DELAY2,BILLING1,BILLING2,PAYMENT1,PAYMENT2,TARGET
1,30000,Married,GradSch,Female,40,0,0,24607,24430,1700,1600,0
2,20000,Married,GradSch,Female,41,1,2,17040,16474,0,1300,0
3,20000,Married,GradSch,Female,36,0,0,17332,18600,1580,1367,0
4,20000,Married,GradSch,Female,35,0,0,2003,2948,1086,1000,0
5,170000,Married,GradSch,Female,38,0,0,171465,145196,18500,13998,0
6,20000,Married,GradSch,Female,40,0,0,16500,17012,1281,1450,0
7,2.00E+05,Married,GradSch,Female,32,0,0,157222,160320,7200,5888,0
8,370000,Married,GradSch,Female,37,0,0,47269,43531,2000,20000,0
9,160000,Married,GradSch,Female,39,0,0,106643,89397,3700,6353,0
10,30000,Married,GradSch,Female,36,1,2,25826,27274,3000,0,0
11,240000,Married,GradSch,Female,41,0,0,48502,49001,2200,1923,0
12,270000,Married,GradSch,Female,40,0,0,184560,178592,6061,6081,0
13,180000,Married,GradSch,Female,44,0,0,173267,174590,8100,5299,0
14,240000,Married,GradSch,Female,40,0,0,3647,2530,2535,464,0
15,2.00E+05,Married,GradSch,Female,43,0,0,143994,102211,4767,2573,0
16,250000,Married,GradSch,Female,35,0,0,242971,244628,8310,7938,0
17,50000,Married,GradSch,Female,40,0,0,5538,6563,1271,1130,0
18,30000,Married,GradSch,Female,39,1,2,15526,14923,0,1000,0
19,3.00E+05,Married,GradSch,Female,36,0,0,2200,1378,1378,1422,0
20,140000,Married,GradSch,Female,39,0,0,4679,3146,1000,0,0
21,160000,Married,GradSch,Female,38,2,2,498,135,135,0,0
22,160000,Married,GradSch,Female,39,0,0,1055,2579,2579,1155,0
23,150000,Married,GradSch,Female,40,3,3,103389,108189,8000,8000,0
24,250000,Married,GradSch,Female,41,0,0,41075,31898,5000,94000,0
25,50000,Married,GradSch,Female,31,0,0,26979,21029,1328,1298,0
26,80000,Married,GradSch,Female,39,0,0,64561,47041,2176,1299,0
27,110000,Married,GradSch,Female,38,0,0,96155,96752,5000,5000,0
28,5.00E+05,Married,GradSch,Female,37,0,0,4101,11076,11155,4024,0
29,330000,Married,GradSch,Female,39,0,0,165042,163406,9000,7558,0
30,470000,Married,GradSch,Female,35,0,0,79455,74993,2348,1542,0
31,80000,Married,GradSch,Female,34,0,0,107044,103077,5000,5000,0
32,50000,Married,GradSch,Female,42,0,0,41674,40012,1660,1612,0
33,240000,Married,GradSch,Female,40,0,0,127919,93266,4000,4840,0
34,80000,Married,GradSch,Female,32,0,0,35303,36215,1800,2000,0
35,20000,Married,GradSch,Female,32,0,0,12146,7698,1273,1039,0
36,210000,Married,GradSch,Female,38,0,0,4341,402,402,11401,0
37,2.00E+05,Married,GradSch,Female,33,0,0,98426,91948,52306,1000,0
38,2.00E+05,Married,GradSch,Female,37,0,0,75014,77044,3190,4195,0
39,230000,Married,GradSch,Female,43,0,0,1215,225,525,5703,0
40,50000,Married,GradSch,Female,31,0,0,35227,36236,2011,2000,0
41,50000,Married,GradSch,Female,39,0,0,1500,0,0,0,0
42,50000,Married,GradSch,Female,34,0,0,47649,49100,2220,2500,0
43,310000,Married,GradSch,Female,37,0,0,4052,6514,6514,0,0
44,240000,Married,GradSch,Female,36,0,0,16925,1411,1411,1200,0
45,1.00E+05,Married,GradSch,Female,41,0,0,34572,35173,1849,1894,0
46,30000,Married,GradSch,Female,34,0,0,29866,30900,1900,0,0
47,150000,Married,GradSch,Female,36,0,0,3060,0,150,530,0
48,150000,Married,GradSch,Female,33,0,0,38985,36466,10107,20000,0
49,150000,Other,GradSch,Female,37,0,0,1080,17493,17498,9160,0
50,140000,Married,GradSch,Female,41,1,2,112592,108669,0,5500,0
51,110000,Married,GradSch,Female,32,0,0,106202,105080,5300,5540,0
52,220000,Married,GradSch,Female,36,0,2,1379,1205,705,325,0
53,190000,Married,GradSch,Female,37,0,0,137502,127014,6112,4202,0
54,360000,Married,GradSch,Female,40,0,0,0,0,0,0,0
55,360000,Married,GradSch,Female,35,1,0,-103,-103,0,0,0
56,1.00E+05,Married,GradSch,Female,34,0,0,16659,13585,10000,4000,0
57,360000,Married,GradSch,Female,40,0,0,4134,2128,2134,982,0
58,30000,Married,GradSch,Female,34,0,0,19594,20619,1346,1358,0
59,360000,Married,GradSch,Female,37,0,0,4183,6469,6501,467,0
60,210000,Married,GradSch,Female,36,0,0,145643,133339,4741,5778,0
61,180000,Married,GradSch,Female,34,0,0,64788,66092,3000,2370,0
62,180000,Married,GradSch,Female,35,0,0,10790,7239,7239,30418,0
63,130000,Other,GradSch,Female,38,0,0,780,0,0,11836,0
64,80000,Married,GradSch,Female,39,1,2,58606,57076,0,2800,0
65,30000,Married,GradSch,Female,37,0,0,10410,11431,1495,1503,0
66,160000,Married,GradSch,Female,33,1,2,56432,55371,0,2000,0
67,150000,Married,GradSch,Female,37,0,0,26416,18915,2497,16047,0
68,50000,Married,GradSch,Female,39,1,2,19454,18856,0,1200,0
69,3.00E+05,Married,GradSch,Female,40,0,0,3144,5688,5734,2018,0
70,190000,Married,GradSch,Female,33,0,2,291,291,0,582,0
71,70000,Married,GradSch,Female,35,2,0,46092,40094,1700,1700,0
72,240000,Married,GradSch,Female,40,0,0,5770,10412,10420,1150,0
73,60000,Married,GradSch,Female,37,1,0,0,0,0,0,0
74,60000,Married,GradSch,Female,35,0,0,28768,29510,1524,1403,0
75,50000,Married,GradSch,Female,39,0,0,45345,46403,2010,2046,0
76,320000,Married,GradSch,Female,34,0,0,247276,241167,10000,10000,0
77,160000,Married,GradSch,Female,37,0,0,1988,0,0,0,0
78,260000,Married,GradSch,Female,38,0,0,248034,241535,11381,7256,0
79,2.00E+05,Married,GradSch,Female,37,0,0,65927,59688,2700,2200,0
80,50000,Married,GradSch,Female,32,0,0,48566,48206,2088,2120,0
81,130000,Married,GradSch,Female,37,0,0,790,390,390,99235,0
82,230000,Married,GradSch,Female,38,0,0,8681,8681,8681,8888,0
83,160000,Married,GradSch,Female,39,0,0,5536,15041,15046,4055,0
84,30000,Married,GradSch,Female,36,1,0,0,0,0,1310,0
85,240000,Married,GradSch,Female,36,1,2,11874,5979,0,6938,0
86,50000,Married,GradSch,Female,37,0,0,15735,15681,1500,3100,0
87,190000,Married,GradSch,Female,40,0,0,3816,4575,1100,1300,0
88,150000,Married,GradSch,Female,38,0,0,36302,33060,2070,3995,0
89,80000,Married,GradSch,Female,37,0,0,65186,62938,2800,2340,0
90,130000,Married,GradSch,Female,32,1,0,0,780,780,0,0
91,360000,Married,GradSch,Female,37,0,0,40250,23022,23000,12280,0
92,120000,Married,GradSch,Female,41,0,0,26490,23333,3246,0,0
93,190000,Married,GradSch,Female,39,0,0,359280,362680,10367,6596,0
